,Title,Description,PubDate,Categorie
0,Réforme de la TVA : les auto-entrepreneurs se mobilisent contre l'abaissement du seuil,"Le gouvernement envisage de faire payer aux auto-entrepreneurs la TVA dès 25 000 euros par an et non plus 85 000. Pour beaucoup, cela signifierait une augmentation de leurs prix ou la fin de leur activité.","Thu, 27 Mar 2025 16:14:44 +0100",economie
1,"Déficit public : malgré des chiffres meilleurs qu'attendus, le gouvernement toujours confronté à une équation budgétaire insoluble","Le déficit public de la France a atteint 5,8% du produit intérieur brut (PIB) en 2024, un peu mieux que les 6% anticipés par le gouvernement, a annoncé l'Insee, jeudi.","Thu, 27 Mar 2025 15:56:59 +0100",economie
2,Titres-restaurant : vers une utilisation élargie aux dimanches et jours fériés ?,"Les tickets-restaurant peuvent être utilisés par les salariés qui travaillent les dimanches et les jours fériés, à condition que leur entreprise en fasse la demande. Cependant, leur utilisation pourrait être élargie.","Thu, 27 Mar 2025 15:48:31 +0100",economie
3,Panneaux solaires : les aides de l'État baissent drastiquement,"Les aides de l'État pour l'installation de panneaux solaires vont baisser, tout comme le rachat de l'électricité aux particuliers. La filière craint une diminution du nombre d'installations.","Thu, 27 Mar 2025 15:16:50 +0100",economie
4,"VIDEO. ""Je me suis pas cassé la tête"" : Yanis a acheté illégalement son examen du code pour pouvoir passer le permis","Depuis que l'examen théorique du permis de conduire a été privatisé, en 2016, les fraudes se sont multipliées. Aujourd'hui, près 4&nbsp;codes de la route sur 10 obtenus chaque année seraient illicites. Yanis, 21&nbsp;ans, a acheté le sien. Représente-t-il un danger au volant&nbsp;? ""Envoyé spécial"" a testé son niveau.","Thu, 27 Mar 2025 13:28:48 +0100",economie
5,L'intelligence artificielle va prendre nos commandes de drive-in dans la restauration rapide,"Après les bornes en libre-service, ce seront peut-être bientôt des robots qui prendront nos commandes au drive-in. KFC se lance dans cette stratégie, déjà testée, sans succès, par McDonald's.","Thu, 27 Mar 2025 12:07:18 +0100",economie
6,Une province italienne offre 100 000 euros à qui accepte de s'installer dans l'un de ses villages,"Située dans le nord de l'Italie, la province de Trente lance cette proposition pour tenter de repeupler ses hameaux désertés.","Thu, 27 Mar 2025 11:58:04 +0100",economie
7,"""Logement social à vie"", crise du logement... Le ""8h30 franceinfo"" de Valérie Létard","Valérie Létard, Ministre du Logement, était l'invitée du ""8h30 franceinfo"".","Thu, 27 Mar 2025 11:38:06 +0100",economie
8,Panneaux solaires : les aides revues à la baisse,Un arrêté doit être publié jeudi 27 mars au Journal officiel. Il entérine une diminution drastique des aides pour l’installation des panneaux solaires.,"Thu, 27 Mar 2025 11:36:46 +0100",economie
9,"Enquête : sur Google, le règne des sites générés par IA","Quand on s’informe sur Google, l’application nous propose des articles de médias bien connus comme 20 Minutes, Sud-Ouest ou Le Monde, mais aussi d’autres, plus insolites :  ""Gre-Mag"", ""la Plasturgie"" ou ""Les Déchargeurs"". Des sites créés de toute pièce par intelligence artificielle, dont les articles sont truffés d’erreurs. Qui se cache derrière ces pages ? Quel est leur véritable but ?","Thu, 27 Mar 2025 11:16:41 +0100",economie
10,"Crise du logement : ""9 millions de mètres carrés de bureaux vides"", la ministre Valérie Létard annonce ""un plan d'accompagnement"" en 2025 pour les transformer en logement",La ministre estime sur franceinfo jeudi qu'il est d'abord nécessaire de modifier la loi pour faciliter les procédures pour transformer des bureaux en logements.,"Thu, 27 Mar 2025 10:22:17 +0100",economie
11,"Réforme du maintien dans le logement social : ""Il faut éviter d'aller trop loin dans les dispositions"", tempère la ministre Valérie Létard","La ministre chargée du Logement a tenté sur franceinfo jeudi d'apaiser le débat entre des députés macronistes et le gouvernement à propos de la proposition de loi sur la ""fin du maintien à vie dans le logement social"".","Thu, 27 Mar 2025 10:15:50 +0100",economie
12,"Droits de douane américains sur l'automobile : ""C'est une très mauvaise nouvelle et c'est un acte non-coopératif"", dénonce Éric Lombard",Donald Trump a annoncé mercredi 25% de droits de douane supplémentaires sur les véhicules automobiles fabriqués hors des États-Unis.,"Thu, 27 Mar 2025 09:25:59 +0100",economie
13,"""Le Premier ministre animera le 15 avril une conférence des finances publiques"", annonce le ministre de l'Économie Éric Lombard","L'objectif est d'intégrer ""toutes les parties prenantes : élus, partenaires sociaux, collectivités locales"", notamment pour construire le prochain budget, annonce Éric Lombard jeudi sur France Inter.","Thu, 27 Mar 2025 09:20:33 +0100",economie
