,Title,Description,PubDate,Categorie
0,Procès de Gérard Depardieu : le parquet requiert 18 mois de prison avec sursis et 20 000 euros d'amende contre l'acteur,"L'acteur est jugé pour des agressions sexuelles sur deux femmes lors du tournage du film ""Les Volets verts"", en 2021.","Thu, 27 Mar 2025 15:56:53 +0100",societe
1,"Affaire Bétharram : ""C'est l'immense honte que notre institution en soit arrivée là"", déplore Laurent Bacho, porte-parole de la congrégation","Jusqu'à maintenant, le porte-parole de la Congrégation s'était peu exprimé sur l'affaire de violences sexuelles à Notre-Dame de Bétharram.","Thu, 27 Mar 2025 15:44:03 +0100",societe
2,Agression sexuelle : comment est-elle définie dans la loi ?,"Jugé depuis lundi à Paris pour agression sexuelle, Gérard Depardieu a affirmé à la barre : ""Je ne sais pas ce qu’est une agression sexuelle"". Pourtant, le Code pénal français en donne un définition claire.","Thu, 27 Mar 2025 15:33:33 +0100",societe
3,"VIDEO. Depuis l'attaque d'Incarville, sans doute planifiée depuis une prison, les téléphones portables sont la hantise du personnel pénitentiaire","Au centre de détention d'Oermingen, en Alsace, la directrice et ses équipes sont sur leurs gardes. Transférés depuis les prisons saturées des alentours, de nouveaux détenus risquent de faire entrer des téléphones portables, strictement interdits. Extrait d'une immersion à voir dans ""Envoyé spécial"".","Thu, 27 Mar 2025 15:31:54 +0100",societe
4,"VIDEO. ""Je me suis pas cassé la tête"" : Yanis a acheté illégalement son examen du code pour pouvoir passer le permis","Depuis que l'examen théorique du permis de conduire a été privatisé, en 2016, les fraudes se sont multipliées. Aujourd'hui, près 4&nbsp;codes de la route sur 10 obtenus chaque année seraient illicites. Yanis, 21&nbsp;ans, a acheté le sien. Représente-t-il un danger au volant&nbsp;? ""Envoyé spécial"" a testé son niveau.","Thu, 27 Mar 2025 13:28:48 +0100",societe
5,"Saisie du véhicule, garde à vue, comparution au tribunal : la police de Toulon renforce ces mesures contre les consommateurs de drogue pris en flagrant délit d'achat","Deux voitures ont notamment été saisies entre mardi et mercredi dans la cité Pontcarral, à Toulon. Les consommateurs ont également été placés en garde à vue. Le vendeur et deux guetteurs ont aussi été interpellés.","Thu, 27 Mar 2025 13:16:44 +0100",societe
6,"Le magazine allemand ""Der Spiegel"" révèle que des coordonnées privées de hauts responsables américains sont disponibles sur internet","Le magazine allemand explique avoir pu accéder à des données confidentielles : numéros de téléphone portable, des adresses électroniques et, dans certains cas, des mots de passe de responsables américains","Thu, 27 Mar 2025 12:35:48 +0100",societe
7,"Une enquête judiciaire ouverte pour ""bizutage, atteintes sexuelles et violences aggravées"" lors de soirées médecine à l’université de Tours",L’université de Tours a dévoilé lundi un plan de 27 mesures destinées à lutter contre les violences sexistes et sexuelles après un rapport mené par l’Inspection générale de l’Education du sport et de la recherche.,"Thu, 27 Mar 2025 12:07:38 +0100",societe
8,"Vrai ou faux. Procès de Gérard Depardieu : l'acteur bénéficie-t-il d’un traitement de faveur, comme l'affirme une avocate des plaignantes ?","Contrairement à la plupart des affaires d'agression sexuelle, le procès en correctionnelle de Gérard Depardieu s’étale sur plusieurs jours, et se tient dans des conditions de comparution peu ordinaires, avec une limite de temps d’audience quotidienne et l’autorisation pour l’acteur.
.","Thu, 27 Mar 2025 10:52:38 +0100",societe
9,"TEMOIGNAGES. ""Je refuse de baisser la tête"" : après l'agression d'Orléans, les rabbins de France ne veulent pas se laisser intimider","La violence qui s'est déchaînée sur le rabbin d'Orléans samedi a rouvert chez les représentants de la communauté juive des craintes déjà vivaces. Les agressions antisémites sont en augmentation en France depuis le 7-Octobre, selon les données du ministère de l'Intérieur.","Thu, 27 Mar 2025 09:05:33 +0100",societe
10,"""Si vous croisez ces comptes, signalez-les"" : la police nationale alerte sur l'utilisation de l'émoji pizza sur les réseaux sociaux","Selon les forces de l'ordre, des pédocriminels utilisent un langage codé afin de repérer des comptes proposant des contenus pédopornographiques.","Thu, 27 Mar 2025 08:49:37 +0100",societe
11,"REPORTAGE. Éducation affective et sexuelle : les enseignants formés au nouveau programme, avant sa mise en place à la rentrée prochaine","Les nouveaux programmes d'éducation à la vie affective et sexuelle sont prêts pour la rentrée prochaine. En attendant, c'est aux enseignants d'être formés par l'Éducation nationale.","Thu, 27 Mar 2025 08:12:08 +0100",societe
12,Accusation de violences à l'Institution Saint-Dominique de Neuilly : une première plainte déposée par une ancienne élève,"Constance Bertrand, ancienne élève et créatrice du groupe de victimes de l'institution catholique de région parisienne, a déposé plainte contre un surveillant pour des faits de harcèlements subis pendant l'année scolaire 1995-1996.","Thu, 27 Mar 2025 07:25:36 +0100",societe
13,Fraude à l'assurance maladie : la traque aux faux arrêts de travail,"De plus en plus d'escrocs usurpent l'identité de professionnels de santé pour délivrer des arrêts maladie frauduleux. Face à cette situation, de nouveaux arrêts seront mis en place à partir de l'été prochain.","Thu, 27 Mar 2025 07:25:08 +0100",societe
14,Consentement : le texte modifiant la définition pénale du viol adopté en commission à l'Assemblée,"Il sera examiné le 1er avril dans l'hémicycle, après une difficile rédaction issue d'une année de travaux et auditions.","Thu, 27 Mar 2025 00:00:30 +0100",societe
15,Éducation aux médias : comment éviter les fausses informations ?,"Pour éviter les fausses informations, des élèves d'une classe de seconde sont formés aux bonnes techniques. Ils se mettent notamment dans la peau de journalistes radio.","Wed, 26 Mar 2025 22:21:18 +0100",societe
16,Visite de Jordan Bardella en Israël : un nouvel acte de la dédiabolisation du Rassemblement national ?,"La visite en Israël du président du Rassemblement national, Jordan Bardella, suscite un certain malaise. Sur place, l'élu européen s'est vu rappeler l'héritage de Jean-Marie Le Pen, condamné à plusieurs reprises pour antisémitisme.","Wed, 26 Mar 2025 22:18:58 +0100",societe
17,Livraison à domicile : les livreurs des plateformes exposés à de multiples risques selon l'Anses,"Les livreurs des grandes plateformes de livraison à domicile seraient exposés à de multiples risques, sans droits suffisants pour se protéger, pointe une nouvelle enquête de l'Anses publiée mercredi 26 mars.","Wed, 26 Mar 2025 21:29:39 +0100",societe
18,Une opération lancée en Lituanie pour retrouver quatre soldats américains portés disparus lors d'exercices,"Ces hommes menaient un entraînement tactique, a précisé l'armée américaine. Ils n'ont plus été vus depuis mardi après-midi.","Wed, 26 Mar 2025 21:23:49 +0100",societe
19,"""Ce jour-là, j'ai cru mourir"" : le voisin qui a tenté de sauver Chahinez Daoud de l'immolation raconte son face-à-face avec Mounir Boutaa","Le soir du féminicide, Gérard Van Cauwenberge a tenté de s'interposer, mais l'accusé a allumé le feu au corps de sa femme avant de le braquer avec son pistolet, l'empêchant d'agir. Le septuagénaire s'est constitué partie civile au procès.","Wed, 26 Mar 2025 21:19:00 +0100",societe
20,Procès de Gérard Depardieu : le parquet requiert 18 mois de prison avec sursis et 20 000 euros d'amende contre l'acteur,"L'acteur est jugé pour des agressions sexuelles sur deux femmes lors du tournage du film ""Les Volets verts"", en 2021.","Thu, 27 Mar 2025 16:26:23 +0100",societe
